时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2024/11/23 11:09:29,日常账本,支出,餐饮,,-5.0,微信钱包,,牛肉饼
2024/11/22 11:51:51,日常账本,支出,餐饮,,-16.0,微信钱包,,肥牛米线
2024/11/22 11:27:54,日常账本,收入,其他,,2.1,中信银行,,抖音发钱
2024/11/22 07:56:48,日常账本,支出,饮品,,-5.0,微信钱包,,先购后付
2024/11/21 19:15:22,日常账本,支出,餐饮,,-12.0,支付宝,,黄焖小酥肉
2024/11/21 19:00:01,日常账本,支出,其它,,-1.3,微信钱包,,西安市长安区双鱼复印部
2024/11/21 10:47:25,日常账本,支出,饮品,,-4.5,微信钱包,,
2024/11/21 10:42:44,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/11/21 10:41:35,日常账本,支出,餐饮,,-13.0,微信钱包,,快餐
2024/11/20 18:25:24,日常账本,支出,餐饮,,-10.0,微信钱包,,大肉串
2024/11/20 17:56:01,日常账本,支出,餐饮,,-13.0,微信钱包,,黄焖鸡
2024/11/20 12:11:24,日常账本,支出,其它,,-0.4,微信钱包,,西安市长安区双鱼复印部
2024/11/20 11:41:57,日常账本,支出,餐饮,,-13.5,微信钱包,,鱼汤泡饭
2024/11/20 11:40:04,日常账本,支出,水果捞,,-11.3,微信钱包,,商户_张春燕
2024/11/19 20:13:13,日常账本,收入,火影租号,,11.4,微信钱包,,
2024/11/19 18:50:11,日常账本,支出,餐饮,,-14.0,微信钱包,,炸鸡双拼
2024/11/19 13:02:10,日常账本,支出,饮品,,-5.0,微信钱包,,学子校园超市
2024/11/19 12:36:02,日常账本,支出,餐饮,,-13.0,微信钱包,,麻辣拌
2024/11/19 09:38:26,日常账本,支出,购物,,-666.34,中信银行,,手机
2024/11/19 07:59:12,日常账本,支出,餐饮,,-3.5,微信钱包,,稀饭
2024/11/19 07:58:27,日常账本,支出,餐饮,,-5.0,微信钱包,,麦香馅饼
2024/11/18 19:08:23,日常账本,支出,餐饮,,-13.8,微信钱包,,烧鸭饭
2024/11/18 17:15:35,日常账本,收入,其他,,1.6,中信银行,,刷抖音给的
2024/11/18 17:14:40,日常账本,支出,购物,,-1000.0,中信银行,,手机
2024/11/18 17:14:29,日常账本,转账,转账,,-1700.0,微信钱包,,微信钱包>中信银行
2024/11/18 17:14:29,日常账本,转账,转账,,1700.0,中信银行,,微信钱包>中信银行
2024/11/18 13:01:51,日常账本,支出,餐饮,,-14.0,微信钱包,,拉面
2024/11/18 10:20:52,日常账本,支出,餐饮,,-11.0,微信钱包,,早餐
2024/11/17 23:13:17,日常账本,支出,购物,,-11.59,微信钱包,,刮胡刀适配器
2024/11/17 19:02:00,日常账本,支出,餐饮,,-2.0,微信钱包,,玉米肠
